CarID,Timestamp,lat,long,LastName,FirstName,CurrentEmploymentType,CurrentEmploymentTitle
35,12:45:03,36.07651562,24.87471251,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,12:45:16,36.07766038,24.87476542,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,12:45:30,36.07820707,24.87400375,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,12:45:40,36.07857403,24.87397233,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,12:45:55,36.07932174,24.87355574,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,12:46:07,36.07988376,24.87264985,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,12:46:18,36.08048519,24.87190552,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,12:46:35,36.08136799,24.87073762,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,12:46:50,36.08202478,24.86963672,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,12:47:06,36.08301792,24.86861564,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,12:47:22,36.08392958,24.86760529,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,12:47:32,36.08454619,24.86696799,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,12:47:43,36.08524878,24.86626389,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,12:47:54,36.08578267,24.86543928,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,12:48:06,36.08632117,24.86460826,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,12:48:22,36.08705947,24.8633632,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,12:48:43,36.0879943,24.86182267,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,12:49:00,36.08874481,24.86062837,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,12:49:16,36.08951414,24.86065728,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,16:22:09,36.08907859,24.86013159,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,16:22:27,36.08822614,24.86141589,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,16:22:44,36.08749091,24.86272042,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,16:22:58,36.08678984,24.86377814,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,16:23:12,36.08617112,24.86478738,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,16:23:25,36.08560705,24.8657795,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,16:23:38,36.08483561,24.86659173,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,16:23:56,36.08375865,24.86778775,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,16:24:11,36.08291344,24.86873487,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,16:24:25,36.08203936,24.86956759,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,16:24:35,36.08153108,24.87028185,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,16:24:47,36.08101709,24.87121621,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,16:25:00,36.08033916,24.87210418,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,16:25:12,36.07970859,24.87294515,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,16:25:25,36.07910808,24.87389233,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,16:25:41,36.07830844,24.87365752,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,16:25:51,36.07811327,24.87446982,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,16:26:03,36.07728359,24.87477737,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
35,16:26:14,36.07635523,24.87469234,Vasco-Pais,Willem,Executive,Environmental Safety Advisor
